cluster_id,cluster_name,version,PD 节点数,TiDB 节点数,TiKV 节点数,TiFlash 节点数,Total QPS(MAX),实际数据存储量(byte),组件tikv,组件tidb,组件pd,组件tiflash
1379661944646413137,us-archit-prod,v6.5.4,3,2,3,0,{'max': 67.93333333333335},{'max': 3922291925.0},实例类型:m6g.xlarge  CPU(core):4  Memory(byte):17179869184  ,实例类型:m6g.xlarge  CPU(core):4  Memory(byte):17179869184  ,实例类型:m6g.large  CPU(core):2  Memory(byte):8589934592  ,
1379661944646413225,us-javaback-prod,v7.5.6,3,3,3,0,{'max': 7968.725},{'max': 1255458993698.0},实例类型:m6g.4xlarge  CPU(core):16  Memory(byte):68719476736  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:c6g.4xlarge  CPU(core):16  Memory(byte):34359738368  ,
1379661944646413872,us-risk-prod,v6.5.7,3,3,3,2,{'max': 207.95},{'max': 2841545867314.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:r6g.8xlarge  CPU(core):32  Memory(byte):274877906944  
1379661944646414020,pressure-test-bet-config,v7.5.6,3,2,3,1,{'max': 2479.0},{'max': 621374435318.0},实例类型:m6g.2xlarge  CPU(core):8  Memory(byte):34359738368  ,实例类型:c6g.2xlarge  CPU(core):8  Memory(byte):17179869184  ,实例类型:c6g.xlarge  CPU(core):4  Memory(byte):8589934592  ,实例类型:r6g.2xlarge  CPU(core):8  Memory(byte):68719476736  
1379661944646414023,pressure-test-go-game,v6.5.10,3,3,3,1,{'max': 10123.616666666667},{'max': 10802178169406.0},实例类型:m6g.4xlarge  CPU(core):16  Memory(byte):68719476736  ,实例类型:c6g.4xlarge  CPU(core):16  Memory(byte):34359738368  ,实例类型:c6g.4xlarge  CPU(core):16  Memory(byte):34359738368  ,实例类型:r6g.2xlarge  CPU(core):8  Memory(byte):68719476736  
1379661944646414653,us-gogame-prod,v6.5.10,3,6,9,4,{'max': 19281.641666666666},{'max': 30628507872811.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:r6g.2xlarge  CPU(core):8  Memory(byte):68719476736  
1379661944646414751,pressure-test-bet-wallet-7-5,v7.5.6,3,2,3,0,{'max': 128.775},{'max': 1968290062749.0},实例类型:m6g.2xlarge  CPU(core):8  Memory(byte):34359738368  ,实例类型:c6g.2xlarge  CPU(core):8  Memory(byte):17179869184  ,实例类型:c6g.xlarge  CPU(core):4  Memory(byte):8589934592  ,
1379661944646415220,pressure-test-go-saas-region1,v7.5.6,3,3,6,0,{'max': 0.36666666666666664},{'max': 8826379109925.0},实例类型:m6g.4xlarge  CPU(core):16  Memory(byte):68719476736  ,实例类型:c6g.4xlarge  CPU(core):16  Memory(byte):34359738368  ,实例类型:c6g.4xlarge  CPU(core):16  Memory(byte):34359738368  ,
1379661944646415222,pressure-test-bet-order-7-5,v7.5.6,3,1,3,1,{'max': 349.10833333333335},{'max': 5910715869311.0},实例类型:m6g.4xlarge  CPU(core):16  Memory(byte):68719476736  ,实例类型:c6g.2xlarge  CPU(core):8  Memory(byte):17179869184  ,实例类型:c6g.4xlarge  CPU(core):16  Memory(byte):34359738368  ,实例类型:r6g.4xlarge  CPU(core):16  Memory(byte):137438953472  
1379661944646415312,pressure-test-go-saas-7-5-region1,v7.5.6,3,4,12,1,{'max': 49571.325},{'max': 2298765841288.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:r6g.4xlarge  CPU(core):16  Memory(byte):137438953472  
1379661944646415385,prod-us-saas-region04-tidb,v7.5.6,3,35,90,3,{'max': 131299.79166666666},{'max': 141823765719762.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:m6g.16xlarge  CPU(core):64  Memory(byte):274877906944  ,实例类型:c6g.16xlarge  CPU(core):64  Memory(byte):137438953472  ,实例类型:r6g.8xlarge  CPU(core):32  Memory(byte):274877906944  
1379661944646416017,us-betcenter-order-prod-01-v75,v7.5.6,3,13,51,10,{'max': 17032.45},{'max': 54832225575719.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:m6g.16xlarge  CPU(core):64  Memory(byte):274877906944  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:r6g.8xlarge  CPU(core):32  Memory(byte):274877906944  
1379661944646416018,us-betcenter-order-prod-02-v75,v7.5.6,3,12,36,10,{'max': 12722.333333333332},{'max': 42022945596833.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:m6g.16xlarge  CPU(core):64  Memory(byte):274877906944  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:r6g.8xlarge  CPU(core):32  Memory(byte):274877906944  
1379661944646416019,us-betcenter-order-prod-04-v75,v7.5.6,3,14,42,10,{'max': 17791.058333333334},{'max': 70510688561494.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:m6g.16xlarge  CPU(core):64  Memory(byte):274877906944  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:r6g.8xlarge  CPU(core):32  Memory(byte):274877906944  
1379661944646416020,us-betcenter-order-prod-03-v75,v7.5.6,3,13,45,8,{'max': 19628.925},{'max': 42445259310158.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:m6g.16xlarge  CPU(core):64  Memory(byte):274877906944  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:r6g.8xlarge  CPU(core):32  Memory(byte):274877906944  
1379661944646416027,prod-us-saas-region01-tidb-v75,v7.5.6,3,38,138,8,{'max': 203469.54999999996},{'max': 249338256140113.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:m6g.16xlarge  CPU(core):64  Memory(byte):274877906944  ,实例类型:c6g.16xlarge  CPU(core):64  Memory(byte):137438953472  ,实例类型:r6g.8xlarge  CPU(core):32  Memory(byte):274877906944  
1379661944646416046,bet-config-prod-v75,v7.5.6,3,10,15,2,{'max': 60431.79166666667},{'max': 13617318094185.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:c6g.16xlarge  CPU(core):64  Memory(byte):137438953472  ,实例类型:r6g.4xlarge  CPU(core):16  Memory(byte):137438953472  
1379661944646416054,prod-us-saas-region02-tidb-v75,v7.5.6,3,30,90,5,{'max': 145572.72499999998},{'max': 174870174371241.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:m6g.16xlarge  CPU(core):64  Memory(byte):274877906944  ,实例类型:c6g.16xlarge  CPU(core):64  Memory(byte):137438953472  ,实例类型:r6g.8xlarge  CPU(core):32  Memory(byte):274877906944  
1379661944646416073,prod-seamless-wallet-01-v75,v7.5.6,3,18,27,0,{'max': 165213.1333333333},{'max': 30306578446645.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:c6g.16xlarge  CPU(core):64  Memory(byte):137438953472  ,
1379661944646416074,prod-seamless-wallet-03-v75,v7.5.6,3,12,24,0,{'max': 209303.67500000005},{'max': 32904391583026.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:c6g.16xlarge  CPU(core):64  Memory(byte):137438953472  ,
1379661944646416075,prod-seamless-wallet-02-v75,v7.5.6,3,11,21,0,{'max': 115523.83333333334},{'max': 17570033801688.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:c6g.16xlarge  CPU(core):64  Memory(byte):137438953472  ,
1379661944646416076,prod-us-saas-region03-tidb-v75,v7.5.6,3,34,81,5,{'max': 140900.59166666667},{'max': 143849780080112.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:m6g.16xlarge  CPU(core):64  Memory(byte):274877906944  ,实例类型:c6g.16xlarge  CPU(core):64  Memory(byte):137438953472  ,实例类型:r6g.8xlarge  CPU(core):32  Memory(byte):274877906944  
