component,instance,cpu capacity,mem capacity,cpu usage,mem usage,store_usage,instance number
tikv,10.107.40.114,32,65020948480,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.40.115,32,65020936192,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.40.116,32,65020932096,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.40.117,32,65020952576,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.40.118,32,65020956672,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.40.119,32,65020944384,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.40.120,32,65020948480,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.40.121,32,65020948480,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.40.122,32,65020948480,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.40.130,32,65020952576,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.40.146,32,65020940288,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.41.51,32,65020948480,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.41.52,32,65020940288,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.41.53,32,65020944384,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.41.54,32,65020960768,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.41.55,32,65020936192,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.41.56,32,65020944384,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.41.57,32,65020940288,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.41.58,32,65020944384,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.41.59,32,65020940288,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.41.60,32,65020944384,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.41.61,32,65020944384,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.41.70,32,65020948480,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.41.84,32,65020936192,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.42.199,32,65020952576,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.42.200,32,65020952576,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.42.201,32,65020952576,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.42.202,32,65020944384,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.42.203,32,65020952576,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.42.204,32,65020948480,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.42.205,32,65020944384,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.42.206,32,65020952576,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.42.207,32,65020940288,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.42.208,32,65020936192,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.42.209,32,65020932096,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.42.214,32,65020944384,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tikv,10.107.42.232,32,65020956672,"{'max': 14.95, 'average': 9.669014636874415, 'percentile_99.0': 12.866666666666667}","{'max': 38245064704.0, 'average': 36726392564.184616, 'percentile_99.0': 37812932280.32}","{'used': 1696432281236.768, 'available': 692885706576.9573, 'capacity': 2704467367463.385}",39
tiflash,10.107.40.124,32,65020956672,"{'max': 3.15, 'average': 1.4301602240656879, 'percentile_99.0': 2.7360833333333354}","{'max': 13179236352.0, 'average': 8670015696.592592, 'percentile_99.0': 10220435537.92}","{'used': 551723991900.8649, 'available': 1331997345298.963, 'capacity': 2163346423808.0}",18
tiflash,10.107.40.125,32,65020944384,"{'max': 3.15, 'average': 1.4301602240656879, 'percentile_99.0': 2.7360833333333354}","{'max': 13179236352.0, 'average': 8670015696.592592, 'percentile_99.0': 10220435537.92}","{'used': 551723991900.8649, 'available': 1331997345298.963, 'capacity': 2163346423808.0}",18
tiflash,10.107.40.127,32,65020944384,"{'max': 3.15, 'average': 1.4301602240656879, 'percentile_99.0': 2.7360833333333354}","{'max': 13179236352.0, 'average': 8670015696.592592, 'percentile_99.0': 10220435537.92}","{'used': 551723991900.8649, 'available': 1331997345298.963, 'capacity': 2163346423808.0}",18
tiflash,10.107.40.128,32,65020952576,"{'max': 3.15, 'average': 1.4301602240656879, 'percentile_99.0': 2.7360833333333354}","{'max': 13179236352.0, 'average': 8670015696.592592, 'percentile_99.0': 10220435537.92}","{'used': 551723991900.8649, 'available': 1331997345298.963, 'capacity': 2163346423808.0}",18
