cluster_id,cluster_name,version,PD 节点数,TiDB 节点数,TiKV 节点数,TiFlash 节点数,Total QPS(MAX),实际数据存储量(byte),组件tikv,组件tidb,组件pd,组件tiflash
1379661944646413137,us-archit-prod,v6.5.4,3,2,3,0,{'max': 24.133333333333333},{'max': 3939861496.0},实例类型:m6g.xlarge  CPU(core):4  Memory(byte):17179869184  ,实例类型:m6g.xlarge  CPU(core):4  Memory(byte):17179869184  ,实例类型:m6g.large  CPU(core):2  Memory(byte):8589934592  ,
1379661944646413225,us-javaback-prod,v7.5.4,3,3,3,0,{'max': 5751.974999999999},{'max': 1058199443321.0},实例类型:m6g.4xlarge  CPU(core):16  Memory(byte):68719476736  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:c6g.4xlarge  CPU(core):16  Memory(byte):34359738368  ,
1379661944646413872,us-risk-prod,v6.5.7,3,3,3,2,{'max': 137.33333333333331},{'max': 2799156340916.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:r6g.8xlarge  CPU(core):32  Memory(byte):274877906944  
1379661944646414004,pressure-test-risk,v7.5.3,3,1,3,1,{'max': 18.683333333333334},{'max': 1252139201492.0},实例类型:m6g.2xlarge  CPU(core):8  Memory(byte):34359738368  ,实例类型:c6g.2xlarge  CPU(core):8  Memory(byte):17179869184  ,实例类型:c6g.xlarge  CPU(core):4  Memory(byte):8589934592  ,实例类型:r6g.2xlarge  CPU(core):8  Memory(byte):68719476736  
1379661944646414005,pressure-test-java-back,v7.5.5,3,1,3,0,{'max': 200.91666666666666},{'max': 320155765758.0},实例类型:m6g.xlarge  CPU(core):4  Memory(byte):17179869184  ,实例类型:m6g.xlarge  CPU(core):4  Memory(byte):17179869184  ,实例类型:m6g.large  CPU(core):2  Memory(byte):8589934592  ,
1379661944646414008,pressure-test-archit-control,v7.5.3,3,1,3,0,{'max': 11.466666666666667},{'max': 20853435111.0},实例类型:m6g.xlarge  CPU(core):4  Memory(byte):17179869184  ,实例类型:m6g.xlarge  CPU(core):4  Memory(byte):17179869184  ,实例类型:m6g.large  CPU(core):2  Memory(byte):8589934592  ,
1379661944646414015,pressure-test-nacos-xxljob-bjx,v7.5.3,3,1,3,0,{'max': 310.56666666666666},{'max': 31947556956.0},实例类型:m6g.xlarge  CPU(core):4  Memory(byte):17179869184  ,实例类型:m6g.xlarge  CPU(core):4  Memory(byte):17179869184  ,实例类型:m6g.large  CPU(core):2  Memory(byte):8589934592  ,
1379661944646414020,pressure-test-bet-config,v7.5.5,3,2,3,1,{'max': 3257.4083333333333},{'max': 566913306070.0},实例类型:m6g.2xlarge  CPU(core):8  Memory(byte):34359738368  ,实例类型:c6g.2xlarge  CPU(core):8  Memory(byte):17179869184  ,实例类型:c6g.xlarge  CPU(core):4  Memory(byte):8589934592  ,实例类型:r6g.2xlarge  CPU(core):8  Memory(byte):68719476736  
1379661944646414023,pressure-test-go-game,v6.5.10,3,3,3,1,{'max': 7830.4},{'max': 7917577554252.0},实例类型:m6g.4xlarge  CPU(core):16  Memory(byte):68719476736  ,实例类型:c6g.4xlarge  CPU(core):16  Memory(byte):34359738368  ,实例类型:c6g.4xlarge  CPU(core):16  Memory(byte):34359738368  ,实例类型:r6g.2xlarge  CPU(core):8  Memory(byte):68719476736  
1379661944646414653,us-gogame-prod,v6.5.10,3,6,9,3,{'max': 7614.166666666666},{'max': 19981407379730.0},实例类型:m6g.8xlarge  CPU(core):32  Memory(byte):137438953472  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:c6g.8xlarge  CPU(core):32  Memory(byte):68719476736  ,实例类型:r6g.2xlarge  CPU(core):8  Memory(byte):68719476736  
