component,name,max,average,percentile_50.0,percentile_75.0,percentile_80.0,percentile_85.0,percentile_90.0,percentile_95.0,percentile_99.0,percentile_99.9,capacity,instance_cnt,plan_max,plan_average,plan_percentile_50.0,plan_percentile_75.0,plan_percentile_80.0,plan_percentile_85.0,plan_percentile_90.0,plan_percentile_95.0,plan_percentile_99.0,plan_percentile_99.9
tidb,CPU(core),12.813999999997517,1.953305092592771,1.623333333339542,1.6959999999962747,1.8064000000183782,2.4653666666786487,2.8760666666738692,2.9997333333486065,10.075660000007593,12.334625333334955,64,1,0.48052499999990683,0.07324894097222891,0.060875000000232826,0.0635999999998603,0.06774000000068918,0.09245125000044932,0.1078525000002701,0.11249000000057274,0.37783725000028473,0.4625484500000608
tidb,Memory(byte),101513216000.0,65736023202.13333,66078167040.0,66872233984.0,67096547328.0,67298115788.8,67452771942.40002,68550144614.4,85228167782.4,86757820801.02402,264405405696,1,0.9424831052562268,0.6103155206386329,0.6134920999990667,0.6208644866562133,0.6229470877729342,0.6248185176846464,0.626254397835384,0.6364427776767818,0.7912871977857056,0.8054890148866172
tidb,Disk IOPS,17.533333333333335,3.1517245370370373,2.725,3.21875,3.375,3.5250000000000004,3.792500000000001,4.668333333333332,13.063416666666665,16.767091666666783,80000,1,0.0005260000000000001,9.455173611111112e-05,8.175e-05,9.65625e-05,0.00010125,0.00010575000000000001,0.00011377500000000003,0.00014004999999999996,0.00039190249999999997,0.0005030127500000035
tidb,Disk Bandwidth(byte),1222135.4666666666,29205.131851851853,16689.066666666666,20365.86666666667,21498.02666666667,23419.946666666663,26496.853333333336,35204.26666666665,283209.21599999955,1032650.329600018,2490368000,1,0.0011777878289473682,2.8145365040204677e-05,1.608347039473684e-05,1.962685032894737e-05,2.0717927631578947e-05,2.2570106907894733e-05,2.5535361842105265e-05,3.392680921052629e-05,0.000272932401315789,0.0009951785402960698
tidb,NetworkIn Bandwidth(byte),279304910.6333334,6622947.567754632,1087590.6749999998,1326489.8166666667,1461382.5466666669,1711175.1233333328,1978463.4200000009,3100675.344999998,208326460.00683302,267102937.35976923,26843545600,1,0.02497180497348309,0.0005921376557130782,9.723818376660346e-05,0.00011859743148088455,0.00013065778136253357,0.00015299097806215282,0.00017688841402530676,0.00027722197875380497,0.018625836969032854,0.023880863549688686
tidb,NetworkOut Bandwidth(byte),79311453.8,2803087.048831019,1355431.3583333334,1455869.058333333,1476759.5233333334,1504796.2791666668,1540036.1300000001,1619303.3183333331,59059428.052333295,77773407.75520046,26843545600,1,0.007090996545553206,0.0002506155117301064,0.00012118500694632531,0.00013016483709216115,0.0001320325902104378,0.00013453927151858808,0.00013768995970487596,0.0001447769986093044,0.0052803243445456,0.0069534845133305
tidb-ac-1889218556038479872,CPU(core),24.338666666671635,11.376847986110896,11.5839999999851,14.508166666670393,15.220666666651766,15.865999999962126,16.588666666671635,17.67003333332017,20.046680000012117,22.10389933333399,64,20,18.254000000003725,8.532635989583172,8.687999999988826,10.881125000002793,11.415499999988825,11.899499999971594,12.441500000003726,13.252524999990127,15.035010000009088,16.577924500000492
tidb-ac-1889218556038479872,Memory(byte),86884958208.0,80855478064.35556,80920129536.0,81380016128.0,81484739379.2,81570373632.0,81703575552.0,81909198848.0,82229452800.0,82600935690.24,264405405696,20,16.133388033324316,15.013793286397421,15.025798209924785,15.111193069899244,15.130638793101138,15.146539941675773,15.17127377715739,15.209455304679302,15.268922229488687,15.337901690831528
tidb-ac-1889218556038479872,Disk IOPS,45.333333333333336,25.73003327546296,25.225,29.541666666666664,30.625,31.858333333333334,33.59166666666667,35.86666666666667,38.87516666666664,41.46168333333341,80000,20,0.0272,0.015438019965277777,0.015135,0.017724999999999998,0.018375,0.019114999999999997,0.020155000000000003,0.021519999999999997,0.02332509999999998,0.024877010000000043
tidb-ac-1889218556038479872,Disk Bandwidth(byte),6106939.733333332,2514373.3237037035,2354560.0,3095257.6,3297090.5600000005,3516863.146666666,3825731.4133333336,4303601.279999999,4835826.645333333,5387818.636800163,2490368000,20,0.1177067434210526,0.04846268484729075,0.045382401315789474,0.059658799342105266,0.06354898026315789,0.0677849342105263,0.07373814144736844,0.08294872944078946,0.09320697944078947,0.1038462165296084
tidb-ac-1889218556038479872,NetworkIn Bandwidth(byte),130800295.06666668,17625588.29926794,17833938.608333334,22487584.254166663,23636007.233333334,24779432.93333333,25945589.220000003,27481610.615833335,30119726.1585,43594349.63326837,26843545600,20,0.2338891537189484,0.03151700788605441,0.031889567270874976,0.04021093413978814,0.042264474451541904,0.04430907893180846,0.04639432886838914,0.049140949158370494,0.053858267352282996,0.07795277172315425
tidb-ac-1889218556038479872,NetworkOut Bandwidth(byte),80320375.1,29937495.398177084,30591030.975,38157157.875,39865296.93,41477218.725,43209099.793333344,45541738.412499994,50182162.95416666,56742113.25393338,26843545600,20,0.1436240227818489,0.053532413360197095,0.054701026037335405,0.06823031522333621,0.07128470587134361,0.07416704665124416,0.07726389132738115,0.08143497421592473,0.0897326999083161,0.1014628051291705
tidb-ac-1889928734471884800,CPU(core),23.981333333346992,6.0891490740740215,5.689666666680326,7.830666666671944,8.383466666669895,9.020766666668155,9.883333333333333,11.344166666646485,14.64297333334231,19.598214666670053,64,14,12.59020000000717,3.196803263888861,2.987075000007171,4.111100000002771,4.401320000001695,4.7359025000007815,5.18875,5.955687499989405,7.687561000004712,10.289062700001779
tidb-ac-1889928734471884800,Memory(byte),101864521728.0,79144199004.64761,78555176960.0,80209736704.0,80845293158.4,81588342579.2,82608578150.40001,84387958988.8,88552433623.04,92984107167.74442,264405405696,14,13.240426453941145,10.287221972879264,10.210660448517215,10.42572135718746,10.508331458811268,10.604913576322371,10.7375245562496,10.968809803799248,11.51011132054511,12.086143550816766
tidb-ac-1889928734471884800,Disk IOPS,29.225,13.744315889550265,13.375,16.641666666666666,17.4,18.333333333333332,19.549999999999997,21.275416666666658,24.18675,26.533716666666866,80000,14,0.0122745,0.005772612673611111,0.0056175,0.006989499999999999,0.007308,0.0076999999999999985,0.008210999999999998,0.008935674999999997,0.010158434999999999,0.011144161000000083
tidb-ac-1889928734471884800,Disk Bandwidth(byte),3264354.1333333333,1431416.4484656085,1417237.3333333335,1790834.1333333333,1885874.3466666667,2001186.7733333332,2124520.5333333337,2271062.826666666,2558667.136,2895575.2832000307,2490368000,14,0.04404260690789474,0.019312644825360926,0.019121340460526316,0.024161901726973682,0.025444182565789474,0.026999975740131577,0.028663992598684213,0.03064113856907894,0.03452149070723684,0.03906704933388199
tidb-ac-1889928734471884800,NetworkIn Bandwidth(byte),333827157.5,21405776.095949903,9752066.516666666,24270268.65833333,32464356.260000005,42560498.36916664,58715810.08666671,83866091.83583333,134736675.84433332,215867192.96834263,26843545600,14,0.41785063192248345,0.026793557287153477,0.01220663767158985,0.03037903558164835,0.0406355548775196,0.05327287112191316,0.0734944350612164,0.1049749808640778,0.16864956574028728,0.27020043446631403
tidb-ac-1889928734471884800,NetworkOut Bandwidth(byte),188254357.6,20100449.611455854,14709726.149999999,22237448.374999996,25368065.850000005,30597701.187499993,40441308.89666673,57312514.03,91733570.78716667,133178524.98320809,26843545600,14,0.23563751635551453,0.02515968333724576,0.01841212804019451,0.027834559433162206,0.03175314562618733,0.038299067314714184,0.050620286871790966,0.07173793283879756,0.11482268491569161,0.16669923214002666
tikv,CPU(core),17.916666666666668,9.1821233281893,9.158333333333333,10.341666666666667,10.641666666666667,11.008333333333333,11.483333333333333,12.216666666666667,13.608333333333333,15.236675000000105,32,90,120.9375,61.97933246527778,61.81875,69.80625,71.83125000000001,74.30624999999999,77.5125,82.4625,91.85624999999999,102.84755625000071
tikv,Memory(byte),88765820928.0,84396740552.9126,85035147264.0,85628226560.0,85770203136.0,85933092659.2,86137325158.4,86425388236.8,86949087395.84,87636611039.23201,132124860416,90,145.11589461725666,137.97324668523584,139.01692498438945,139.98650124379026,140.21860699829736,140.4849015994831,140.81878441069898,141.2897148982582,142.14586731345454,143.2698428204492
tikv,Storage(byte),1645100685932.0,1474534069498.0574,1560364903411.0,1581492991379.5,1586727836841.8,1592847496342.7,1600371552030.0,1611178614500.25,1628234408978.88,1638854336807.469,2641075896320,90,134.5443153134808,120.5945499163308,127.61421192264724,129.34216945978386,129.77030051858165,130.2707959621379,130.88614973925627,131.77000373861563,133.16490935738912,134.03345857786834
tikv,Disk IOPS,6054.775,3466.2023280607004,3403.2958333333336,3694.56875,3786.4550000000004,3913.8608333333336,4083.278333333333,4238.626666666666,4555.018749999998,4927.825750000009,16000,90,81.73946249999999,46.79373142881946,45.94449375,49.876678125,51.1171425,52.837121249999996,55.12425749999999,57.22145999999999,61.49275312499998,66.52564762500012
tikv,Disk Bandwidth(byte),242518510.93333334,61103194.46143209,59041762.133333325,68478801.06666666,71561559.89333335,75376020.05333334,80663630.50666666,89976125.22666666,110665391.5306666,143692917.06026694,1245184000,90,42.06928322368421,10.599469639562772,10.241876398026314,11.878903865131576,12.413664917763159,13.07535298519737,13.992585986842105,15.608008976151314,19.196941633223673,24.926171622039522
tikv,NetworkIn Bandwidth(byte),95020497.08333333,12546643.637551311,12639112.483333334,14834554.475,15414009.803333335,16160982.891666666,17220719.536666665,18871315.14583333,22691143.146999996,37082724.13073587,1610612736,90,12.743241693824528,1.682636033564237,1.6950370721518995,1.9894687872380015,2.0671798025071624,2.167356700077653,2.3094784592092035,2.53084058035165,3.0431194353550666,4.9731808480117135
tikv,NetworkOut Bandwidth(byte),146821916.96666667,20435856.970968235,18017150.35833333,22976871.6625,24632192.500000015,26966648.535833333,30894033.616666667,38596648.062499985,55554598.057999946,91312952.36318366,1610612736,90,19.690353463590142,2.7406619897293165,2.416288155689835,3.081438615359366,3.30343443900347,3.6165093902125953,4.143212773650884,5.176213868893681,7.450452186495059,12.246021200249388
tiflash,CPU(core),11.4,5.198254243827161,4.933333333333334,5.835416666666666,6.15,6.584583333333334,7.191666666666666,7.916666666666667,9.033333333333333,10.578225000000112,32,3,2.565,1.1696072048611112,1.1099999999999999,1.31296875,1.38375,1.4815312500000002,1.6181249999999998,1.78125,2.0324999999999998,2.380100625000025
tiflash,Memory(byte),67705262080.0,56208535376.59259,56001595392.0,56888676352.0,57149629235.2,57456668057.6,57889272627.2,58588428697.6,60684714967.04,63680303476.73612,267046625280,3,1.8254411058925628,1.515471143988937,1.5098917142264212,1.5338088219798078,1.5408445250412863,1.549122778020376,1.5607864824309978,1.5796368375013976,1.6361560356906375,1.716921846706589
tiflash,Storage(byte),2999763128008.0,2993555900246.839,2993676369024.0,2995174482468.0,2995675368372.8,2996122405218.25,2996751199026.2,2997472428941.75,2998421391234.79,2999181668761.84,4327886815232,3,4.9904943090568805,4.980167782096178,4.980368197502723,4.982860503160728,4.98369379170743,4.984437495372672,4.9854835752750635,4.9866834346091125,4.9882621562350655,4.989526976325899
tiflash,Disk IOPS,6265.416666666666,3373.826581790124,3383.7958333333336,3789.772916666667,3858.6516666666666,3938.4133333333334,4035.495,4196.299583333333,4848.104750000005,5477.695966666675,16000,3,2.8194374999999994,1.5182219618055555,1.522708125,1.7053978124999998,1.7363932499999999,1.7722859999999998,1.8159727499999998,1.8883348125000001,2.181647137500002,2.4649631850000038
tiflash,Disk Bandwidth(byte),416812569.6,90584346.81679012,88490062.93333334,108132363.73333332,111485399.89333333,115452202.24000001,121262884.26666667,137207220.9066667,243762666.5386678,326385933.2138683,1245184000,3,2.410126134868421,0.5237838721673976,0.511674140625,0.6252513836348683,0.6446395707236842,0.667576724506579,0.701175703125,0.7933702894736843,1.4095034943256644,1.8872541882483647
tiflash,NetworkIn Bandwidth(byte),56774727.733333334,11729161.856342593,9295248.991666667,12927936.720833335,14169392.280000005,16546972.259166671,21654260.343333326,29074464.38833336,43215282.37983336,48659101.56440008,1610612736,3,0.2538028109073639,0.052433439447027115,0.04155300106853247,0.05779238069429995,0.06334211951494219,0.07397073027119042,0.09680208717286583,0.1299729841426016,0.19318736663386238,0.21752313478767907
