component,name,max,average,percentile_50.0,percentile_75.0,percentile_80.0,percentile_85.0,percentile_90.0,percentile_95.0,percentile_99.0,percentile_99.9,capacity,instance_cnt,plan_max,plan_average,plan_percentile_50.0,plan_percentile_75.0,plan_percentile_80.0,plan_percentile_85.0,plan_percentile_90.0,plan_percentile_95.0,plan_percentile_99.0,plan_percentile_99.9
tidb,CPU(core),14.929333333329607,6.46652319688113,6.856333333315948,8.494666666661699,8.96946666666617,9.519333333283042,10.09266666667536,10.813999999938533,11.896306666663227,13.155042666661421,64,19,17.55129749999562,7.602206333333378,8.06047687497956,9.98654249999416,10.544729249999415,11.191166249940874,11.865191250010218,12.713208749927738,13.985595524995954,15.465397034993831
tidb,Memory(byte),46688567296.0,37779392767.251465,37875326976.0,38576674816.0,38742020096.0,38925872947.2,39131822899.2,39553687552.0,41364716748.8,42716098105.344124,264405405696,19,13.589362369307999,10.996222161877705,11.024145158915319,11.228282284911645,11.276408347802574,11.329921298880025,11.389865921081133,11.512655545387995,12.039780994765847,12.433119493177609
tidb,Disk IOPS,17.875,4.7753298611111115,4.7250000000000005,5.783333333333333,6.05,6.375,6.808333333333334,7.566666666666666,9.291666666666666,11.456408333333577,80000,19,0.016811437499999998,0.004491197734375,0.0044438624999999995,0.005439225,0.005690024999999999,0.005995687499999999,0.006403237500000001,0.007116449999999999,0.008738812499999998,0.010774752037500229
tidb,Disk Bandwidth(byte),863829.3333333333,78343.1959454191,35692.8,45832.53333333333,49109.333333333336,54596.26666666666,71253.76000000001,585511.68,760357.8453333334,784032.921600001,2490368000,19,0.026098359374999994,0.002366936156798245,0.001078365234375,0.0013847109374999997,0.0014837109375,0.0016494843749999997,0.002152747265625,0.017689714453124998,0.022972237148437498,0.023687518078125025
tidb,NetworkIn Bandwidth(byte),106994026.58333333,8211732.634524855,8572002.658333333,10855808.687500002,11466142.853333335,12083097.588333333,12782645.918333335,13866554.310833333,16251409.949999997,19075167.773533434,26843545600,19,0.29989445806033904,0.0230167345487196,0.024026538432128722,0.030427837582211945,0.03213854835498333,0.03386781597682088,0.03582858588156849,0.038866681842025366,0.04555121379487215,0.05346594837608395
tidb,NetworkOut Bandwidth(byte),40405252.7,15113237.401680069,16040749.375,19819941.674999997,20958250.636666663,22257828.899166666,23540919.246666666,25145752.090833336,27867398.709166665,30975120.31255011,26843545600,19,0.11325222302779556,0.04236102037513287,0.044960751495324074,0.055553481415919946,0.05874405718977747,0.062386656044919025,0.06598304078426956,0.07048124027677997,0.07810976650110257,0.08682042555199079
tidb-ac-1901897336590700544,CPU(core),14.746666666648041,4.728783459595967,4.816999999992549,6.2188333333353505,6.575333333325883,6.998099999998231,7.484000000002173,8.134700000002049,9.401113333330974,11.13766466666895,64,11,10.036949999987321,3.2185282421875043,3.2785706249949285,4.232693437501372,4.475336249994928,4.763081812498795,5.093797500001479,5.536680187501393,6.398632762498393,7.580573013751553
tidb-ac-1901897336590700544,Memory(byte),54204321792.0,37272840076.67071,36940003328.0,37704695808.0,37971334758.4,38330873651.2,38945464320.0,40205685555.2,43361319485.44002,48066119446.52895,264405405696,11,9.134011023777429,6.280874308403401,6.224787737610347,6.353646642420971,6.3985781724503985,6.459164341629193,6.562729477366367,6.775090305325552,7.306848551769888,8.099657930958475
tidb-ac-1901897336590700544,Disk IOPS,14.55,4.017907196969698,3.833333333333333,4.625,4.858333333333333,5.175,5.591666666666667,6.358749999999994,8.238416666666671,11.397033333333395,80000,11,0.007922475,0.00218775046875,0.0020872499999999997,0.0025183124999999997,0.0026453624999999994,0.0028177874999999997,0.0030446625,0.0034623393749999964,0.004485817875000003,0.0062056846500000325
tidb-ac-1901897336590700544,Disk Bandwidth(byte),1170547.2000000002,86954.61764309763,40140.8,60502.399999999994,66304.0,74983.25333333333,105770.66666666677,576459.733333333,786217.6000000003,831901.6362666682,2490368000,11,0.020474498560855266,0.0015209572017201203,0.0007021184210526315,0.0010582711245888158,0.0011597491776315788,0.001311561389802631,0.001850076069078949,0.01008308249383223,0.013752039319490136,0.014551116652549368
tidb-ac-1901897336590700544,NetworkIn Bandwidth(byte),138985965.7,7884372.022511574,5762452.966666667,8974107.041666666,10138111.333333334,11759989.676666664,14387759.16333334,20040237.361666653,47352500.07883334,81551772.18968879,26843545600,11,0.2255375931371748,0.01279425789790616,0.009350942493528126,0.014562610638700423,0.016451482835412024,0.01908336394710838,0.023347541285857566,0.032520023713789856,0.07684062806643471,0.13233703362132768
tidb-ac-1901897336590700544,NetworkOut Bandwidth(byte),49022809.78333334,10742227.565472431,10498484.658333333,13824471.3875,14622348.103333334,15545819.7025,16811361.383333333,19192216.171666667,26127350.171833355,38366966.4086667,26843545600,11,0.07955110051341353,0.01743180426776331,0.01703627376694232,0.022433473677914584,0.023728217310503123,0.025226768338713797,0.02728040895827114,0.03114390881500393,0.04239780357051868,0.062259475021120954
tikv,CPU(core),15.225,7.1158995627572015,7.4,8.758333333333333,9.158333333333333,9.583333333333334,10.066666666666666,10.658333333333333,11.716666666666667,12.808333333333334,32,45,84.78421874999998,39.62666569010416,41.208749999999995,48.77296874999999,51.000468749999996,53.36718749999999,56.058749999999996,59.35359374999999,65.2471875,71.32640624999999
tikv,Memory(byte),81016270848.0,77722046966.32889,77741393920.0,78906566656.0,79077327667.2,79282692710.4,79504974233.6,79860777164.8,80318267432.96,80631152701.44,132124860416,45,109.26860713160156,104.82560757901544,104.85170128411633,106.423197979753,106.65350749228554,106.9304883010676,107.23028477623153,107.71016480895368,108.32719301643431,108.74918895775515
tikv,Storage(byte),324340042332.0,284119541466.81635,282268741038.0,287865441348.25,289740931598.2,292934960843.65,299698253465.5,310362857806.7,317003662677.37,319834505079.5092,1055740657664,45,54.745827134713785,47.95695033798746,47.644551043690285,48.58922622319251,48.90579294828255,49.44491778676191,50.58650377804163,52.38659784452086,53.5075089502576,53.98533095360585
tikv,Disk IOPS,4700.058333333334,3229.2353023405344,3231.1708333333336,3600.04375,3711.141666666667,3803.4749999999995,3967.659166666667,4251.602499999999,4416.300333333333,4517.497025000003,16000,45,52.346899687500006,35.9656081798177,35.98716515625,40.095487265624996,41.3328403125,42.36120281249999,44.18980396874999,47.35222284374998,49.18654496249998,50.313623115937524
tikv,Disk Bandwidth(byte),121616640.0,47441750.24744033,48498090.66666667,56524806.400000006,58326265.17333334,60408984.10666667,62957149.44,66891466.23999997,75181666.304,88769969.68106684,1245184000,45,17.40472512335526,6.78945432489806,6.940628659539473,8.089343021175987,8.34715227138158,8.645213051089637,9.009884507195721,9.572930011924337,10.759351979605261,12.703992821274694
tikv,NetworkIn Bandwidth(byte),40512493.11666667,11167500.042168723,11695860.108333334,14515626.320833335,15288127.786666669,16109060.385000002,17064492.606666666,18382753.402499996,20826572.915,24939131.321350142,1610612736,45,4.4823476879484945,1.2355847330853755,1.2940430835541339,1.606025180700235,1.6914956095218658,1.782324513176456,1.8880346060469746,2.033888459407724,2.304275391904637,2.759293467715752
tikv,NetworkOut Bandwidth(byte),126607802.68333334,12807019.9259946,12602647.608333334,15902937.6125,16809374.0,17947467.177500002,19486875.453333333,22269248.035833314,31607065.829000015,53493227.95178408,1610612736,45,14.008029325660317,1.416983052350728,1.3943710698466747,1.759518858385272,1.8598079971969126,1.9857279031416402,2.1560497617870564,2.4638945857593764,3.4970412221599383,5.9185507527291294
tiflash,CPU(core),4.9,2.0897993827160497,2.0166666666666666,2.55,2.683333333333333,2.825,3.0166666666666666,3.341666666666667,3.95,4.55,32,3,1.819125,0.7758380208333333,0.7486875,0.9466874999999997,0.9961874999999998,1.04878125,1.1199374999999998,1.24059375,1.4664375,1.6891874999999996
tiflash,Memory(byte),23902625792.0,17598904490.666668,17410021376.0,17823457280.0,17956723097.6,18184920268.8,18558739660.8,19215168716.800003,20753803632.640003,22211395428.35206,267046625280,3,1.0633468747684898,0.7829156617497174,0.7745128916346213,0.7929052548946706,0.798833799812353,0.8089855191647826,0.8256154779680576,0.8548177836594453,0.9232664404474261,0.9881097632750524
tiflash,Storage(byte),167103413525.0,161577453836.94446,162257279559.5,163139412255.0,163457405819.4,163812645965.9,164125765497.8,164687868943.15,165899426525.82,166885282061.03702,527295578112,3,3.764849612024124,3.6403494193064914,3.6556659323197,3.6755404331832637,3.6827048466581465,3.6907084277910105,3.697763029030587,3.7104272523010873,3.7377237150054703,3.7599350974720425
tiflash,Disk IOPS,3807.9583333333335,2498.691452546296,2731.1708333333336,3077.9812500000003,3157.985,3244.0954166666666,3341.058333333333,3459.4637500000003,3617.8006666666674,3748.265466666667,16000,3,2.8274090624999997,1.8552784035156247,2.02789434375,2.285401078125,2.3448038625,2.408740846875,2.480735812499999,2.5686518343749998,2.686216995,2.7830871090000002
tiflash,Disk Bandwidth(byte),73740189.86666666,30860100.994567905,27465292.8,45256307.2,47492260.69333335,50400255.78666667,53676640.85333333,57702379.946666665,64587836.11733334,69678622.92906672,1245184000,3,0.7035373532072366,0.29442877503683523,0.26203972944078946,0.43177950370065793,0.45311219629934224,0.4808566755962171,0.5121158747121709,0.5505244797286183,0.6162169551439145,0.6647869233762339
tiflash,NetworkIn Bandwidth(byte),32053768.316666663,4250199.092588735,3347930.066666667,5289084.670833333,5916034.566666669,6758425.145,7872929.516666666,9952396.412500007,16189665.489000158,28004686.253883336,1610612736,3,0.23643099243566387,0.03134978638338184,0.02469458256661892,0.0390126841077581,0.043637113429605974,0.049850649338588106,0.05807131693884729,0.07340962028782819,0.11941618348740157,0.20656466030586138
tiflash,NetworkOut Bandwidth(byte),69478190.15,7583982.692789352,3397204.158333333,9213815.116666667,10980593.550000003,13943974.405,20413215.863333333,30462358.925833352,44008794.28900014,62932970.536201596,1610612736,3,0.5124763268865645,0.055940023555319435,0.025058031952008602,0.06796178941056132,0.08099367927387358,0.10285179809443651,0.1505694069318473,0.2246926377458499,0.32461215813540023,0.4641982974919645
pd,CPU(core),8.158000000007451,2.156308487654481,0.25999999999961193,5.264833333319984,6.19960000001515,6.5306666666641835,6.771333333322158,7.1381666666859145,7.526000000008692,7.930540000003021,32,3,3.0286575000027662,0.800529526041726,0.09652499999985592,1.954569374995044,2.3016015000056242,2.424509999999078,2.5138574999958507,2.6500443750071456,2.7940275000032266,2.9442129750011214
pd,Memory(byte),3130781696.0,2076193086.5777779,2234687488.0,2412673024.0,2442776576.0,2471948083.2,2509960806.4,2548171980.8,2589058211.84,2622365532.1600046,66195939328,3,0.5618726303464896,0.372608563590712,0.4010531103108089,0.43299567641298076,0.43839827665388,0.44363360542259506,0.45045564248711006,0.45731329503317775,0.46465103250901335,0.47062860408543594
pd,Disk IOPS,189.50833333333333,90.3290200617284,90.69166666666668,94.51041666666667,95.51833333333333,96.60125,98.3,101.51791666666666,117.9250833333334,165.7062333333346,3000,3,0.7504529999999998,0.35770291944444443,0.359139,0.37426124999999993,0.37825259999999994,0.38254094999999994,0.3892679999999999,0.4020109499999999,0.46698333000000025,0.656196684000005
pd,Disk Bandwidth(byte),1469299.2,571306.2992592592,569134.9333333333,593329.0666666667,600000.0,606405.12,617632.4266666666,639651.84,847098.2400000052,1272347.844266667,1245184000,3,0.014018229029605263,0.005450695507812499,0.005429979029605262,0.00566080941611842,0.005724455180921051,0.00578556488486842,0.005892681907894736,0.006102763815789473,0.008081959847861891,0.012139163681743424
pd,NetworkIn Bandwidth(byte),30413128.583333336,5505954.491624228,3772666.4833333334,10308517.391666666,12130797.086666668,13026539.816666668,13493889.491666667,14262426.865000002,14843927.025500001,30225379.78865001,1610612736,3,0.22432951105758547,0.04061233212581265,0.0278274701423943,0.07603639526478945,0.08947766658514737,0.09608473195508123,0.09953193811140953,0.10520072725676001,0.1094899159315601,0.22294466190608966
pd,NetworkOut Bandwidth(byte),22957190.916666664,6957222.8404321,3543914.875,15201279.820833333,16926056.34,17814040.531666666,18579502.356666666,19459479.43583333,20493986.18933335,21949452.702600103,1610612736,3,0.16933395719155667,0.051316996008364694,0.026140181170776478,0.11212577687669543,0.12484785747975109,0.13139769529066977,0.13704379896149035,0.14353457571174946,0.1511651748973132,0.16190080475489868
