component,name,max,average,percentile_50.0,percentile_75.0,percentile_80.0,percentile_85.0,percentile_90.0,percentile_95.0,percentile_99.0,percentile_99.9,capacity,instance_cnt,plan_max,plan_average,plan_percentile_50.0,plan_percentile_75.0,plan_percentile_80.0,plan_percentile_85.0,plan_percentile_90.0,plan_percentile_95.0,plan_percentile_99.0,plan_percentile_99.9
tidb,CPU(core),1.8393333333350408,0.5957726851851045,0.4633333333341094,0.478666666666201,0.4840000000006209,0.4940000000021731,1.671733333333397,1.7780333333359644,1.8004066666670453,1.8276100000019588,64,1,0.11380875000010564,0.036863434895828336,0.028668750000048017,0.029617499999971184,0.029947500000038412,0.030566250000134455,0.10343850000000393,0.11001581250016278,0.11140016250002341,0.11308336875012119
tidb,Memory(byte),49502461952.0,47133681137.77778,47499661312.0,47505334272.0,47558569984.0,47558840320.0,47619616768.0,47620472832.0,47620472832.0,49490599936.0,264405405696,1,0.7583360987822132,0.7220483682190495,0.7276548767967528,0.7277417817745115,0.728557308125365,0.7285614494456047,0.7294924935322372,0.7295056077129966,0.7295056077129966,0.758154382669874
tidb,Disk IOPS,11.45,1.33875,1.2333333333333334,1.325,1.3666666666666667,1.425,1.5833333333333333,1.7837499999999997,3.403666666666663,6.571583333333569,80000,1,0.0005667749999999999,6.6268125e-05,6.104999999999999e-05,6.558749999999999e-05,6.764999999999999e-05,7.05375e-05,7.837499999999998e-05,8.829562499999998e-05,0.0001684814999999998,0.0003252933750000116
tidb,Disk Bandwidth(byte),126195.2,8692.00888888889,7257.6,7872.0,8162.986666666667,8781.653333333328,14400.426666666668,16674.986666666668,29153.023999999983,68620.04480000175,2490368000,1,0.00020066632401315786,1.3821393143503289e-05,1.1540501644736841e-05,1.2517475328947366e-05,1.2980180921052629e-05,1.3963939144736831e-05,2.289849917763158e-05,2.651533717105263e-05,4.635699424342102e-05,0.00010911454749177907
tidb,NetworkIn Bandwidth(byte),521189.0166666667,330804.45854166674,342309.68333333335,356428.2708333333,359740.43,362918.54333333333,370183.7533333333,379887.02249999996,410590.84383333294,486354.2115666743,26843545600,1,7.688658334314824e-05,4.88007685476914e-05,5.049803651869297e-05,5.258083166554569e-05,5.306944634020328e-05,5.353828637301921e-05,5.4610061019659026e-05,5.6041501801460974e-05,6.0570975451916396e-05,7.174770078823082e-05
tidb,NetworkOut Bandwidth(byte),31413762.7,499213.0416319445,431722.0916666667,440074.3125,441650.50000000006,443712.45249999996,446034.9716666667,449272.835,458022.50366666645,27391012.207033824,26843545600,1,0.004634205262809991,7.364465463394299e-05,6.368828874081372e-05,6.492042085155845e-05,6.51529423892498e-05,6.54571247063577e-05,6.579974620789289e-05,6.627740065008402e-05,6.756816485971208e-05,0.004040763092780632
tidb-ac-1849736027246170112,CPU(core),28.172000000004967,8.482919907407405,8.299666666674117,10.953000000010555,11.537466666636368,12.204866666629288,12.948133333312969,14.017400000045695,16.683493333333487,22.512690666638573,64,10,17.43142500000307,5.248806692708331,5.135418750004609,6.77716875000653,7.138807499981251,7.55176124997687,8.011657499987399,8.673266250028274,10.322911500000094,13.929727349982615
tidb-ac-1849736027246170112,Memory(byte),107970281472.0,85796029028.69333,85476907008.0,86822866944.0,87292198912.0,87847286374.4,88574163353.6,89727131852.8,92907444551.68001,97784546115.58441,264405405696,10,16.540139380398212,13.143230332202934,13.09434352159486,13.300533267869119,13.372430979540917,13.45746571198059,13.568817154103934,13.745442234801923,14.23263940235184,14.979770358570166
tidb-ac-1849736027246170112,Disk IOPS,36.983333333333334,17.83052025462963,17.558333333333334,21.808333333333334,22.816666666666666,23.991666666666667,25.308333333333334,27.150416666666658,30.44175,33.54335000000004,80000,10,0.018306749999999997,0.008826107526041667,0.008691375,0.010795125,0.011294249999999999,0.011875875,0.012527624999999999,0.013439456249999995,0.015068666249999998,0.016603958250000016
tidb-ac-1849736027246170112,Disk Bandwidth(byte),4544264.533333333,2085243.7517037038,1890675.2,2707404.8,2873044.48,3099261.8666666667,3308167.2533333334,3540669.6533333333,3899096.661333334,4326369.966933337,2490368000,10,0.07225955180921052,0.033158012216454216,0.030064126233552625,0.04305115953947368,0.04568503988486842,0.049282182360197366,0.05260404214638158,0.05630112428042763,0.06200056689967107,0.06879475269942438
tidb-ac-1849736027246170112,NetworkIn Bandwidth(byte),427038722.95000005,23639208.980372686,16317524.458333332,28909492.25,33897244.91000001,40706972.744166665,50544549.430000015,68825491.79916659,109477412.18416667,183762990.12614152,26843545600,10,0.6299739118225872,0.03487291468764686,0.02407185616157949,0.04264771540090442,0.05000572273269297,0.06005153509486466,0.07456407537415624,0.1015323950069769,0.16150271603811528,0.2710899117959739
tidb-ac-1849736027246170112,NetworkOut Bandwidth(byte),132550426.48333335,24354270.017140046,21809640.991666667,30307471.599999998,32953170.58666667,36286667.1025,40629493.00666667,48650021.43083333,67491692.2386667,92462632.45043877,26843545600,10,0.19554037186279893,0.03592778342510558,0.03217390862368047,0.04471003544926643,0.04861301016926765,0.05353063409250228,0.059937235827147946,0.07176923933107406,0.09956475394409897,0.13640225846459622
tidb-ac-1895731813712658432,CPU(core),32.444000000009936,13.30129300682277,13.365333333363136,16.745333333313464,17.531466666609052,18.444100000007698,19.60560000001143,21.330199999952065,24.478306666654845,27.847058666624278,64,19,38.14197750001168,15.637332591146016,15.712620000035034,19.68623249997664,20.610430499932264,21.683345062509048,23.048833500013437,25.076316374943644,28.777309274986095,32.73769834495016
tidb-ac-1895731813712658432,Memory(byte),105758547968.0,90160417548.42574,89641750528.0,91510276096.0,91966309171.2,92500721664.0,93331042304.0,94676914176.0,98923766005.76,102514782826.49648,264405405696,19,30.782508764455578,26.242454125137463,26.091488813974905,26.635349388639497,26.768084211535072,26.923632463279493,27.165308931699254,27.55704381735795,28.793149609113776,29.838365422695816
tidb-ac-1895731813712658432,Disk IOPS,48.875,27.39396290204678,27.174999999999997,31.566666666666666,32.69166666666666,33.925,35.78333333333333,38.99166666666667,43.061749999999996,46.18910000000032,80000,19,0.04596693749999999,0.025764022109374993,0.025558087499999993,0.02968845,0.030746512499999993,0.03190646249999999,0.03365422499999999,0.036671662499999994,0.04049957587499999,0.0434408485500003
tidb-ac-1895731813712658432,Disk Bandwidth(byte),6840072.533333333,2947846.084990253,2821570.1333333333,3595612.8,3790744.7466666666,4018785.28,4422886.4,5001630.72,5690346.0693333335,6310520.682666679,2490368000,19,0.20665502343749997,0.08906151196717377,0.08524641210937499,0.10863210058593749,0.11452750546874997,0.12141715781249997,0.13362602343749996,0.15111127968749996,0.171919024921875,0.1906559898632816
tidb-ac-1895731813712658432,NetworkIn Bandwidth(byte),278539459.1666666,18502291.31641021,17987613.633333333,22559385.6,23666955.153333336,24877072.709166665,26341752.44,28241982.114166666,32690075.78083333,176878174.11480677,26843545600,19,0.7807205955572424,0.05186022813047111,0.05041763371869921,0.06323189186096191,0.06633630788835883,0.06972815657547488,0.0738335197264552,0.07915968948118014,0.09162728867493194,0.49577332364015503
tidb-ac-1895731813712658432,NetworkOut Bandwidth(byte),99833798.3,35458170.364965275,35287732.391666666,44162115.34583334,46185710.95333333,48525897.2475,51517224.998333335,55265046.86083333,62693282.75383333,80086071.80906872,26843545600,19,0.2798249939118325,0.0993860042937095,0.09890828226316717,0.12378236497269941,0.12945431814077493,0.13601364601038024,0.144398063751854,0.15490286520902438,0.1757235301434405,0.22447392504343128
tikv,CPU(core),18.883333333333333,9.864321244855967,9.816666666666666,11.025,11.333333333333334,11.7,12.15,12.825,14.241666666666667,16.106683333333542,32,90,210.31312499999999,109.86387786458332,109.33312499999998,122.7909375,126.225,130.30874999999997,135.32062499999998,142.83843749999997,158.6165625,179.3881856250023
tikv,Memory(byte),88623194112.0,84553426588.12839,85316380672.0,85794096128.0,85907693568.0,86042745856.0,86223883468.8,86512065536.0,87194673848.31999,87895729717.24802,132124860416,90,239.0564976346563,228.078509533545,230.13653884487744,231.42515166143852,231.73157489994585,232.09587148494623,232.5844808579186,233.36183712854546,235.20313786290282,237.09419993024784
tikv,Storage(byte),1948826097962.0,1778556070212.6013,1883520077529.0,1900330131439.0,1904190207878.4,1908286081006.05,1913035629301.3,1919972526638.95,1932029878570.16,1942229739589.5215,3169508581376,90,219.13858362614752,199.9923228315039,211.79515322211412,213.68538417107817,214.1194360777636,214.5800024858409,215.1140723483974,215.89410185381215,217.2499083196894,218.39684651971862
tikv,Disk IOPS,6201.8,3902.4040394804524,3881.833333333333,4189.885416666666,4278.210000000001,4385.437083333334,4525.260833333334,4710.243333333333,5081.52525,5534.675600000028,16000,90,138.14509499999997,86.92604997942706,86.46783749999999,93.32969765624999,95.29712775000002,97.68561103125,100.80018506249999,104.92067024999999,113.19097494374998,123.28489899000061
tikv,Disk Bandwidth(byte),241945331.2,69722729.57086422,67495524.26666667,77418673.06666666,80403661.65333334,84382661.33333334,90041452.37333333,100993631.14666665,131475126.48533335,185146165.06880206,1245184000,90,69.25026023437498,19.956232025994552,19.31875517886513,22.158986206825652,23.013357875822365,24.15223814247533,25.771912926809208,28.906675752878282,37.63117344856086,52.993046192788405
tikv,NetworkIn Bandwidth(byte),89970129.56666666,13934036.230788196,13737499.341666667,16314435.575,16874890.046666674,17519525.071666665,18358768.003333338,19792888.543333333,23046628.140833337,54480551.97871911,1610612736,90,19.908792139068243,3.083354801344941,3.0398646775446827,3.610094909202307,3.734113532200457,3.8767598169185216,4.062469375871122,4.379814786739646,5.099809585383162,12.055578781425636
tikv,NetworkOut Bandwidth(byte),148138154.51666668,21663620.194087707,17941043.616666667,22109035.708333332,23853634.30333333,26783559.575833328,32895453.223333333,46809552.874166645,86134608.69716665,110567535.57643364,1610612736,90,32.78034321326763,4.793774483832753,3.970034386329352,4.89233702821657,5.278385719723999,5.926726157980037,7.279179697729646,10.358122887929895,19.060059475197267,24.466632355899208
tiflash,CPU(core),8.558333333333334,5.005945601851852,4.983333333333333,5.510416666666667,5.65,5.808333333333334,6.033333333333333,6.383749999999995,7.041666666666667,7.741666666666666,32,5,5.2954687499999995,3.097428841145833,3.0834374999999996,3.4095703124999996,3.4959374999999997,3.59390625,3.7331249999999994,3.949945312499996,4.3570312499999995,4.790156249999999
tiflash,Memory(byte),60893655040.0,55134984591.36,54919747584.0,56035830784.0,56337317068.8,56777545932.799995,57174486220.8,57696191692.799995,58838112665.6,60014859038.72001,267046625280,5,4.514920825259716,4.08794791457972,4.071989305324652,4.1547405752080655,4.177094081577154,4.209734567103082,4.2391654490479835,4.277846965186857,4.362513960089838,4.4497630618650295
tiflash,Storage(byte),2951452826986.0,2922765039046.2886,2939384008304.0,2944202167330.5,2945016411619.8,2945604133641.7,2946341764647.1,2947388839535.0,2949128082746.16,2950469794013.457,4362206093312,5,13.396608212509562,13.266394694611552,13.34182799241176,13.363697557187935,13.367393402038743,13.37006106509379,13.373409163187851,13.378161823272434,13.386056226893983,13.392146237893968
tiflash,Disk IOPS,5109.183333333333,2871.2027835648146,2978.1875,3295.9270833333335,3356.105,3430.0691666666667,3508.3291666666664,3622.5641666666656,3873.637333333334,4637.489300000038,16000,5,6.322614374999999,3.5531134446614576,3.6855070312499993,4.078709765625,4.1531799375,4.244710593749999,4.341557343749999,4.482923156249998,4.7936262,5.738893008750047
tiflash,Disk Bandwidth(byte),299223910.4,71364562.64592592,67454376.53333333,86984322.13333333,91024193.70666668,95239940.05333333,99541043.2,104294323.4133333,126717897.30133371,261682116.82133543,1245184000,5,4.758038511513157,1.1347867788128767,1.0726098756167761,1.3831607041529603,1.4473997701480266,1.5144354674136509,1.582828445723684,1.658411611122532,2.014974788116782,4.161076526089671
tiflash,NetworkIn Bandwidth(byte),42267804.31666667,11237087.614407407,10375619.0,13399732.0875,14159720.790000001,15101682.655000001,16470980.756666664,18586558.22166666,27073537.66800003,35242929.04153335,1610612736,5,0.5196174764819442,0.13814266446063087,0.12755223624408243,0.16472904342692343,0.17407193261012432,0.1856519012209028,0.20248530990257851,0.22849307258240867,0.3328273978248242,0.43325746743775917
