component,name,max,average,percentile_50.0,percentile_75.0,percentile_80.0,percentile_85.0,percentile_90.0,percentile_95.0,percentile_99.0,percentile_99.9,capacity,instance_cnt,plan_max,plan_average,plan_percentile_50.0,plan_percentile_75.0,plan_percentile_80.0,plan_percentile_85.0,plan_percentile_90.0,plan_percentile_95.0,plan_percentile_99.0,plan_percentile_99.9
tidb,CPU(core),1.760000000001552,0.5626856481482052,0.44633333333185876,0.46066666666883976,0.46599999999937913,0.47410000000246016,1.580066666667505,1.7127000000001864,1.7386666666662398,1.752910666665024,64,1,0.0660000000000582,0.021100711805557695,0.016737499999944703,0.01727500000008149,0.017474999999976717,0.017778750000092255,0.05925250000003143,0.06422625000000699,0.06519999999998399,0.0657341499999384
tidb,Memory(byte),46304526336.0,45795835958.04444,46229381120.0,46299930624.0,46303985664.0,46304526336.0,46304526336.0,46304526336.0,46304526336.0,46304526336.0,264405405696,1,0.4299069174261213,0.42518406353653987,0.4292092437703007,0.42986424927819633,0.42990189764401243,0.4299069174261213,0.4299069174261213,0.4299069174261213,0.4299069174261213,0.4299069174261213
tidb,Disk IOPS,7.175,1.3288773148148147,1.225,1.31875,1.3583333333333334,1.4,1.5416666666666667,1.8,3.7916666666666665,6.055508333333458,80000,1,0.00021524999999999997,3.986631944444444e-05,3.675e-05,3.95625e-05,4.075e-05,4.2e-05,4.625e-05,5.4000000000000005e-05,0.00011375,0.00018166525000000373
tidb,Disk Bandwidth(byte),119419.73333333334,8887.386666666667,7492.266666666666,8187.733333333334,8494.933333333332,8958.293333333331,13639.680000000004,16421.76,32034.815999999933,65353.10506666953,2490368000,1,0.00011508634868421052,8.564890008223685e-06,7.220394736842105e-06,7.890625e-06,8.186677631578946e-06,8.633223684210525e-06,1.3144736842105267e-05,1.5825863486842103e-05,3.087236842105256e-05,6.298163651316065e-05
tidb,NetworkIn Bandwidth(byte),485911.35,331634.7254050926,347299.43333333335,361513.4625,365036.82666666666,369052.88249999995,374187.0,382832.4216666667,409178.09266666655,455807.49051666993,26843545600,1,4.344386011362076e-05,2.9650455004432134e-05,3.105098903179169e-05,3.2321822270751005e-05,3.263683557510376e-05,3.2995898947119704e-05,3.3454924821853635e-05,3.4227885752916335e-05,3.658337229490279e-05,4.075236533731251e-05
tidb,NetworkOut Bandwidth(byte),451289.0833333334,386672.5165856481,412333.88333333336,422167.5291666667,424138.2833333333,426149.19666666666,429349.54000000004,432606.41833333333,439655.09216666664,445827.57155000017,26843545600,1,4.034838825464249e-05,3.4571216993240845e-05,3.6865521967411046e-05,3.774471841752529e-05,3.792091757059097e-05,3.810070723295212e-05,3.838684022426605e-05,3.867802783846855e-05,3.9308228388428683e-05,3.9860091049969215e-05
tidb-ac-1849744516265807872,CPU(core),24.25800000000745,8.667628194444568,8.478999999972682,11.286000000002483,11.88946666666617,12.558666666659215,13.36280000002434,14.48136666665164,17.06672000000005,20.987189333327972,64,10,9.096750000002793,3.250360572916713,3.179624999989756,4.232250000000931,4.458549999999813,4.709499999997205,5.011050000009128,5.430512499994364,6.400020000000018,7.87019599999799
tidb-ac-1849744516265807872,Memory(byte),103143677952.0,83587701897.10222,83201828864.0,84483259392.0,84873578086.40001,85424670310.4,86254474444.8,87845772492.8,91112968970.24,95858898653.184,264405405696,10,9.576208666637966,7.7605655647056535,7.724739804395507,7.843712158024769,7.879950668598375,7.931115938602043,8.00815776706148,8.155899271543735,8.459236866674193,8.899865064770955
tidb-ac-1849744516265807872,Disk IOPS,36.36666666666667,17.617472222222222,17.53333333333333,21.116666666666667,21.975,22.90833333333333,24.100833333333338,25.891666666666666,29.18333333333333,32.47007500000018,80000,10,0.01091,0.005285241666666667,0.005259999999999999,0.006335,0.006592499999999999,0.006872499999999999,0.0072302500000000006,0.0077675,0.008754999999999999,0.009741022500000054
tidb-ac-1849744516265807872,Disk Bandwidth(byte),4556027.733333333,1961761.2909629631,1901612.8,2365661.866666666,2490282.666666667,2643240.3200000003,2866658.1333333333,3202631.8933333326,3812011.264,4214196.151466671,2490368000,10,0.043907031250000006,0.018905748460914657,0.01832608963815789,0.022798190789473677,0.02399917763157895,0.02547325041118421,0.027626356907894733,0.030864179687499993,0.0367368478618421,0.04061275587993426
